Petition,URL,State,Signatures Count
Decrease the Foreign Aid budget once we have left the EU.,https://petition.parliament.uk/petitions/300120,closed,375
Shorten School days,https://petition.parliament.uk/petitions/300121,rejected,6
Highway Code Rules 163 and 215 to be made law. Pass horses wide and slow. ,https://petition.parliament.uk/petitions/300122,closed,42396
CANZUK: Enter talks with Australia to join the Trans-Tasman Travel Agreement,https://petition.parliament.uk/petitions/300123,closed,1062
Access Protection Markings to be Enforced by Law,https://petition.parliament.uk/petitions/300127,closed,27
Close schools in counties affected with Coronavirus (COVID-19).,https://petition.parliament.uk/petitions/300129,rejected,6
Review the National Curriculum for history & include the Holocaust as a subject,https://petition.parliament.uk/petitions/300133,closed,83
The Legalisation of Euthanasia in the UK,https://petition.parliament.uk/petitions/300134,closed,1159
Horace 'Harry' Billinge  his MBE should be changed to a knighthood. He is a hero,https://petition.parliament.uk/petitions/300137,rejected,7
Don’t criminalise trespass,https://petition.parliament.uk/petitions/300139,closed,134930
Release The official research on the characteristics of grooming gangs,https://petition.parliament.uk/petitions/300141,rejected,21
Re-consider student nurses for intakes 2017-2019,https://petition.parliament.uk/petitions/300145,rejected,21
Impose sanctions on China over its treatment of Uyghur Muslims,https://petition.parliament.uk/petitions/300146,closed,146344
Permanently Ban Fracking,https://petition.parliament.uk/petitions/300148,rejected,17
"Allow child benefit to be claimed on household income, not individual income.",https://petition.parliament.uk/petitions/300149,closed,302
Ban all single use plastic,https://petition.parliament.uk/petitions/300152,closed,2154
Hold a referendum to return UK to the European Union,https://petition.parliament.uk/petitions/300153,rejected,9
Stop the migration of people to Universal Credit,https://petition.parliament.uk/petitions/300154,closed,79
Ban Smacking in England,https://petition.parliament.uk/petitions/300156,closed,236
Call for Right to Appeal/Reverse DVSA Examiner’s Decisions on ALL Driving Tests,https://petition.parliament.uk/petitions/300157,closed,29
All children from Hattersley should have a priority to get in alder high school,https://petition.parliament.uk/petitions/300162,rejected,21
To allow sufferers of any peanut/nut allergy to join any of the UK armed forces.,https://petition.parliament.uk/petitions/300163,rejected,6
"Ban pelagic trawlers, attach pingers to all boats, stop slaughter of dolphins.",https://petition.parliament.uk/petitions/300164,closed,3896
Haydn's Law – All children 16 and under to wear a helmet when riding a bicycle,https://petition.parliament.uk/petitions/300165,closed,6693
Triple Lock the NHS,https://petition.parliament.uk/petitions/300166,rejected,6
Abolish the London Mayoralty and the Greater London Authority?,https://petition.parliament.uk/petitions/300167,rejected,10
Repeal the 2013 and 2017 HS2 Hybrid Bills halting all HS2 works immediately.,https://petition.parliament.uk/petitions/300170,closed,24591
Extend the Gambling Act to cover Loot Boxes,https://petition.parliament.uk/petitions/300171,closed,46627
BBC to become a Subscription only Service.,https://petition.parliament.uk/petitions/300172,rejected,7
Stop the ULEZ Expansion to the North and South Circular roads,https://petition.parliament.uk/petitions/300176,rejected,9
Publish new carbon budgets linked to the Paris Agreement and Climate Change Act,https://petition.parliament.uk/petitions/300178,closed,2089
All halal and kosher certified products are to be prominently labelled as such.,https://petition.parliament.uk/petitions/300181,rejected,21
Equal (50/50) rights for both parents in the event of a separation.,https://petition.parliament.uk/petitions/300183,closed,10279
Make it Law to Label Non-Religiously Slaughtered Meat Products.,https://petition.parliament.uk/petitions/300185,closed,3188
Guarantee financial help to those out of work due to the Coronavirus outbreak.,https://petition.parliament.uk/petitions/300186,rejected,9
Hampshire County Council must urgently repair the dangerous streets  in Romsey.,https://petition.parliament.uk/petitions/300187,rejected,16
Compulsory random drug testing to protect children and vulnerable adults,https://petition.parliament.uk/petitions/300188,closed,56
Universities and schools must close due to spread of corona virus.,https://petition.parliament.uk/petitions/300190,rejected,8
Stop the self-regulation of statutory Adult Services by Local Authorities.,https://petition.parliament.uk/petitions/300191,rejected,6
"Ensure, where possible, government contracts are awarded to UK companies",https://petition.parliament.uk/petitions/300193,closed,2964
Make the death penalty an option where intent to kill can be proven,https://petition.parliament.uk/petitions/300195,closed,182
We ask the Government to have an NHS National Database Centre,https://petition.parliament.uk/petitions/300199,closed,152
Shut Schools Down Due To CoronaVirus Outbreak,https://petition.parliament.uk/petitions/300200,rejected,6
Make cannabis legal for recreational use for ages 21+,https://petition.parliament.uk/petitions/300201,closed,15680
all venues and events for children to check the sexual offenders register by law,https://petition.parliament.uk/petitions/300202,rejected,12
The government should release the review into the grooming gang problem.,https://petition.parliament.uk/petitions/300203,rejected,21
Parliament to protect housing benefit payments during Coronavirus.,https://petition.parliament.uk/petitions/300204,closed,483
All halal and kosher certified products are to be prominently labelled as such.,https://petition.parliament.uk/petitions/300205,closed,1835
Restrict all foreign travel until the corona virus is no longer a risk.,https://petition.parliament.uk/petitions/300206,rejected,14
Shut down all schools in the uk to reduce the risk of coronavirus!!!,https://petition.parliament.uk/petitions/300209,rejected,15
Make nurseries exempt from business rates to support the childcare sector,https://petition.parliament.uk/petitions/300210,closed,11220
End the animal cruelty laws exemptions given to UK halal and shechita abattoirs,https://petition.parliament.uk/petitions/300212,rejected,7
Ban spitting in the street especially in light of the covid-19 threat,https://petition.parliament.uk/petitions/300213,closed,272
Change Child Benefit cap from £60k sole earner to £100k joint or single income.,https://petition.parliament.uk/petitions/300215,rejected,6
Independent CCTV monitoring  in English abattoirs,https://petition.parliament.uk/petitions/300221,closed,1548
Ban All Pheasant Shooting in England and The Rearing Of Game Birds For Shooting.,https://petition.parliament.uk/petitions/300222,closed,613
Ban the live export of animals,https://petition.parliament.uk/petitions/300225,closed,1341
Require all broadband providers to support a common router standard,https://petition.parliament.uk/petitions/300226,closed,110
Ban all plastic bottles under 1litre,https://petition.parliament.uk/petitions/300227,rejected,8
Protect the skies of the United Kingdom from Starlink pollution,https://petition.parliament.uk/petitions/300228,rejected,6
Ban discrimination in private rental sector towards people on benefits.,https://petition.parliament.uk/petitions/300229,closed,96
Review how Social Services operate and bring in procedures to protect parents,https://petition.parliament.uk/petitions/300231,closed,2168
Make the legal age for social media users to 18+,https://petition.parliament.uk/petitions/300232,closed,147
Declare Covid-19 strain of coronavirus a notifiable disease,https://petition.parliament.uk/petitions/300236,rejected,6
Release the report into Russian interference in the UK democratic system,https://petition.parliament.uk/petitions/300237,rejected,21
Release the Home Office's Grooming Gang Review in full,https://petition.parliament.uk/petitions/300239,closed,131625
Pass law to ensure no unsaleable goods are destroyed but donated to good causes.,https://petition.parliament.uk/petitions/300242,closed,348
Ban the advertising and endorsement of Internal Combustion Engine Vehicles.,https://petition.parliament.uk/petitions/300243,closed,46
Replace the current press self regulatory system with a statutory regulator,https://petition.parliament.uk/petitions/300246,closed,1053
Help independent businesses creating regeneration in struggling High Streets.,https://petition.parliament.uk/petitions/300250,closed,97
Eliminate the 1p and 2p coins from circulation.,https://petition.parliament.uk/petitions/300251,rejected,6
Place political advertising in the remit of the advertising standards authority,https://petition.parliament.uk/petitions/300252,rejected,6
Ensure balance and fairness in political reporting,https://petition.parliament.uk/petitions/300254,rejected,21
Introduce Human Trafficking into the secondary school curriculum,https://petition.parliament.uk/petitions/300256,closed,60
Ban non-stun slaughter in the UK. ,https://petition.parliament.uk/petitions/300257,closed,20853
Change the voting system from First Past The Post to Instant Runoff Voting,https://petition.parliament.uk/petitions/300258,closed,67
Introduce the topic of Body Dysmorphic Disorder into the national curriculum.,https://petition.parliament.uk/petitions/300259,closed,40
Remove MPs 'special' income tax exemption for accommodation expenses,https://petition.parliament.uk/petitions/300261,closed,355
Demand that the UK government publishes the Russia Report.,https://petition.parliament.uk/petitions/300265,rejected,7
Change the Sexual Offences Act so women can be charged with rape against males,https://petition.parliament.uk/petitions/300270,closed,24426
Increase salary for school teachers.,https://petition.parliament.uk/petitions/300271,closed,144
To introduce video recording and broadcasting of proceedings in the civil courts,https://petition.parliament.uk/petitions/300273,rejected,6
Introduce a form of proportional representation for all UK elections,https://petition.parliament.uk/petitions/300274,closed,10136
Reimburse students caught up in the University strikes,https://petition.parliament.uk/petitions/300275,rejected,10
Reverse the decision to support new onshore wind farms,https://petition.parliament.uk/petitions/300276,closed,610
Make General Elections bank holidays,https://petition.parliament.uk/petitions/300278,closed,163
Add Environmental Conservation to the national curriculum for all schools,https://petition.parliament.uk/petitions/300279,closed,991
Subject the Child Maintenance Service to review and ensure it's fit for purpose,https://petition.parliament.uk/petitions/300281,closed,4741
Introduce a minimum Wage (fee) for Gig-Economy Workers,https://petition.parliament.uk/petitions/300282,closed,105
Ban all advertising for online gambling sites,https://petition.parliament.uk/petitions/300285,closed,633
Run a nationwide information campaign to reduce roadside litter.,https://petition.parliament.uk/petitions/300286,closed,500
Include locations of latest Coronavirus cases daily. Once a week is not enough!,https://petition.parliament.uk/petitions/300289,rejected,21
Abolish the Supreme Court and return power to the Lords of Appeal in Ordinary.,https://petition.parliament.uk/petitions/300293,rejected,6
End BSL,https://petition.parliament.uk/petitions/300294,rejected,12
Will the gov support self-employed individuals financially during Corona Virus?,https://petition.parliament.uk/petitions/300296,rejected,7
Rejoin the EU under Article 49 TEU,https://petition.parliament.uk/petitions/300297,closed,46767
UK public to be provided with daily location updates regarding Covid19 spread.,https://petition.parliament.uk/petitions/300299,rejected,21
Repeal the Fixed Term Parliaments Act.,https://petition.parliament.uk/petitions/300300,closed,183
Close schools in order to prevent the spread of COVID-19.,https://petition.parliament.uk/petitions/300304,rejected,6
Restore the concept of Free Speech and abolish hate speech laws.,https://petition.parliament.uk/petitions/300305,closed,3594
Make the Life in the UK test questions more relevant to actual life in the UK.,https://petition.parliament.uk/petitions/300306,closed,3512
Call a Referendum on Irish Unity,https://petition.parliament.uk/petitions/300307,closed,39
Fund the creation of a new hospital between Shrewsbury and Telford,https://petition.parliament.uk/petitions/300309,closed,616
Grant cats the same status under the Road Traffic Act 1988 as dogs,https://petition.parliament.uk/petitions/300310,closed,25129
Hold a referendum to scrap the UK's policy of Net Zero CO2 by 2050,https://petition.parliament.uk/petitions/300316,closed,7628
Create a national database of people banned from keeping animals,https://petition.parliament.uk/petitions/300317,closed,2142
"Release daily, detailed information on Coronavirus cases as other countries do",https://petition.parliament.uk/petitions/300322,rejected,21
Legislate on the use of Vegan labelling,https://petition.parliament.uk/petitions/300324,closed,960
Reduce exam stress on students within the education system lowering anxiety,https://petition.parliament.uk/petitions/300325,rejected,7
To ensure that Self Employed workers have the right to Statutory benefits.,https://petition.parliament.uk/petitions/300326,rejected,6
A motion for the introduction of a Digital Data Dividend (The DDD),https://petition.parliament.uk/petitions/300327,closed,1251
Take Immediate Action To Prevent The Further Spread of Covid-19,https://petition.parliament.uk/petitions/300329,rejected,6
"Make the licensing and monitoring of Animal rescues, compulsory.",https://petition.parliament.uk/petitions/300335,closed,64
Include self-employed in statutory sick pay during Coronavirus,https://petition.parliament.uk/petitions/300336,closed,699593
Appoint an Independent Ombudsman/Regulator for the Veterinary Profession.,https://petition.parliament.uk/petitions/300339,closed,177
Raise national speed limit to 80 mph on motorways and dual carriageways,https://petition.parliament.uk/petitions/300342,closed,92
Give parents the option to keep children at home during the covid-19 outbreak,https://petition.parliament.uk/petitions/300345,rejected,21
Let all votes count. Introduce a fair proportional electoral system,https://petition.parliament.uk/petitions/300350,rejected,21
Stop the Welney Wash flooding the A1101,https://petition.parliament.uk/petitions/300351,rejected,7
Support British Food Producers by ensuring that marks of origin remain,https://petition.parliament.uk/petitions/300353,closed,14142
Make it law that all local councils should have annual road checks in their area,https://petition.parliament.uk/petitions/300356,closed,86
Change religious slaughter law to mirror the licensing requirements in Germany,https://petition.parliament.uk/petitions/300357,rejected,21
Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,https://petition.parliament.uk/petitions/300359,closed,1252
Make all parcel delivery businesses equip drivers with cameras,https://petition.parliament.uk/petitions/300362,closed,45
Ban the use of peat in gardening and horticulture,https://petition.parliament.uk/petitions/300368,closed,2971
Stop Minting 1p & 2p Coins ,https://petition.parliament.uk/petitions/300369,closed,41
Add the British National Anthem to the National Curriculum,https://petition.parliament.uk/petitions/300371,closed,2355
Abolish (or raise threshold on) luxury car tax for Ultra Low Emission Vehicles,https://petition.parliament.uk/petitions/300373,closed,52
Reform the Electoral System to Proportional Representation.,https://petition.parliament.uk/petitions/300374,rejected,6
Give UK Citizens’ Family Equal Immigration Rights to that of EU Citizens’ Family,https://petition.parliament.uk/petitions/300377,closed,50
Predicted grades for A Level students during the potential Coronavirus pandemic,https://petition.parliament.uk/petitions/300378,rejected,10
Require employers to pay workers on a weekly basis.,https://petition.parliament.uk/petitions/300379,closed,28
"Provide all nhs Staff with full pay, off sick, if they have coronavirus 19.",https://petition.parliament.uk/petitions/300380,closed,206
Build the cancelled platforms 15/16 at Manchester Piccadilly.,https://petition.parliament.uk/petitions/300383,rejected,6
Reduce the temperature of UK hospitals by one degree.,https://petition.parliament.uk/petitions/300387,rejected,6
Please allow veterinarians to use emergency lights when attending emergencies,https://petition.parliament.uk/petitions/300392,closed,279
Abolish the House of Lords,https://petition.parliament.uk/petitions/300395,closed,4810
No prosecution for parents that remove child from school during a pandemic.,https://petition.parliament.uk/petitions/300399,closed,100649
Fund better support for women experiencing pregnancy loss and miscarriage,https://petition.parliament.uk/petitions/300401,closed,476
Publish local coronavirus cases daily instead of weekly,https://petition.parliament.uk/petitions/300402,rejected,12
Close Schools/Colleges down for an appropriate amount of time amidst COVID19.,https://petition.parliament.uk/petitions/300403,closed,685393
Ban trade deals with countries that deny climate change or not meeting targets.,https://petition.parliament.uk/petitions/300405,closed,67
Close all schools and airports to prevent the spread of Coronavirus.,https://petition.parliament.uk/petitions/300406,rejected,6
Revise the NPPF to include the protection of all and particularly old hedgerows.,https://petition.parliament.uk/petitions/300407,closed,11792
Make the boundaries commission answerable to the speaker or to the crown,https://petition.parliament.uk/petitions/300408,rejected,21
Scrap all  election deposits to open up democracy,https://petition.parliament.uk/petitions/300410,closed,124
Extend the transition; delay negotiations until after the coronavirus outbreak,https://petition.parliament.uk/petitions/300412,closed,107436
Please continue to provide free TV Licences and add free fast Broadband for all,https://petition.parliament.uk/petitions/300413,rejected,8
Prevent the closure of the A38 Bridgewater Rd North at Toneway Creech Castle Jtn,https://petition.parliament.uk/petitions/300414,rejected,11
Raise awareness on human trafficking and introduce it to school curriculums.,https://petition.parliament.uk/petitions/300415,rejected,7
Civil servants contracts must be reviewed in the event of a change in government,https://petition.parliament.uk/petitions/300416,rejected,21
"Food Labeling of ALL Meat, to include method of slaughter",https://petition.parliament.uk/petitions/300418,rejected,7
Create charge for use of non-biodegradable material,https://petition.parliament.uk/petitions/300421,closed,119
Ensure all royal visits around the UK are fully funded by the Royal Household.,https://petition.parliament.uk/petitions/300422,closed,3818
Start using eco-friendly methods of transport to deliver food in city centres,https://petition.parliament.uk/petitions/300423,rejected,11
The Government should fund free TV licences for all over-75s.,https://petition.parliament.uk/petitions/300425,closed,473
"Change approach to COV-19 - if schools have ""confirmed"" cases they should close.",https://petition.parliament.uk/petitions/300426,closed,3241
Make The Masters and The Open golf tournaments Category A free-to-air,https://petition.parliament.uk/petitions/300427,closed,716
Remove the protected status of badgers.,https://petition.parliament.uk/petitions/300435,closed,207
Increase the success criteria for all future referendums to 60% of the vote,https://petition.parliament.uk/petitions/300437,closed,105
Stop MPs payrise,https://petition.parliament.uk/petitions/300438,rejected,21
Introduce emergency measures to support gig economy workers to self isolate,https://petition.parliament.uk/petitions/300439,rejected,21
Coronavirus quarantine UKPOPULATION for two weeks stop the virus cycle killing.,https://petition.parliament.uk/petitions/300441,rejected,6
Get volunteers from people already entering transport system to improve hygiene,https://petition.parliament.uk/petitions/300442,rejected,6
Instigate an Animal Abuser Register,https://petition.parliament.uk/petitions/300445,rejected,6
Support the Bill for a June Bank Holiday (United Kingdom Day).,https://petition.parliament.uk/petitions/300447,closed,109
Call for the UK government to formally recognise the State of Palestine,https://petition.parliament.uk/petitions/300450,closed,52624
Include gardening in the National Curriculum,https://petition.parliament.uk/petitions/300453,closed,397
Freeze MP's Pay Until Budget Cuts Stop and Public Services Spend increase by 25%,https://petition.parliament.uk/petitions/300454,rejected,12
Spend Road Tax on repairing roads.,https://petition.parliament.uk/petitions/300455,rejected,10
Return the Chagos Islands to Mauritius,https://petition.parliament.uk/petitions/300456,closed,338
Revoke IR35 Legislation that is causing significant damage to UK businesses,https://petition.parliament.uk/petitions/300458,closed,1681
Appoint an independent panel to conduct a Public Inquiry into the DVSA,https://petition.parliament.uk/petitions/300462,closed,13
Remove mandatory financial advice clause for Defined Benefit Pension transfers.,https://petition.parliament.uk/petitions/300464,closed,14
Close all U.K. schools to prevent spread of corona virus.,https://petition.parliament.uk/petitions/300465,rejected,6
Contain the Coronavirus by placing patients and staff in one hospital building,https://petition.parliament.uk/petitions/300466,rejected,7
Introduce a licensing scheme to control the purchase and ownership of animals,https://petition.parliament.uk/petitions/300467,closed,1251
"Disinfect public transport & TFL, to prevent spread of Coronavirus till it ends",https://petition.parliament.uk/petitions/300470,rejected,21
Ban wearing face coverings in public places.,https://petition.parliament.uk/petitions/300471,closed,16983
To block Huawei equipment to be used in 5G network,https://petition.parliament.uk/petitions/300472,closed,10822
Hold a public inquiry into the 2016 EU membership referendum,https://petition.parliament.uk/petitions/300473,closed,23601
Legalise Cannabis for recreational and medicinal purposes,https://petition.parliament.uk/petitions/300475,closed,4431
PHE to provide the exact location of COVID-19 cases every 24 hours,https://petition.parliament.uk/petitions/300477,rejected,12
Make nit nurses mandatory in schools,https://petition.parliament.uk/petitions/300478,closed,41
Reject Boris Johnson's plan to ban public bodies from criticizing Israel,https://petition.parliament.uk/petitions/300484,rejected,7
New tougher data laws giving the public the right of access to all their records,https://petition.parliament.uk/petitions/300488,rejected,6
End Breed Specific Legislation,https://petition.parliament.uk/petitions/300490,rejected,11
"Hold an Independent public Enquiry into CSE, trafficking, rape and assault",https://petition.parliament.uk/petitions/300491,rejected,17
A Knighthood for Harry Bellinge. In addition to his MBE.,https://petition.parliament.uk/petitions/300493,rejected,20
Parents should have the right to keep kids at home due to outbreak of COVID-19,https://petition.parliament.uk/petitions/300495,rejected,21
Abolish the Supreme Court and return power to the Lords of Appeal in Ordinary.,https://petition.parliament.uk/petitions/300498,closed,874
CLOSE SCHOOLS IN THE AFFECTED AREAS OF UK BY CORONAVIRUS,https://petition.parliament.uk/petitions/300503,rejected,12
Stop mps payrise while people on uc suffer,https://petition.parliament.uk/petitions/300505,rejected,21
Make the prorogation of Parliament non justiciable by any court in the land.,https://petition.parliament.uk/petitions/300506,closed,38
Allow makeup and not lock the toilets at school,https://petition.parliament.uk/petitions/300507,rejected,7
Stop the proposed 2020 MP’s Pay rise!,https://petition.parliament.uk/petitions/300511,rejected,21
make all prospective MPs put thier salary expectations on the ballot paper.,https://petition.parliament.uk/petitions/300516,rejected,16
Require working from home if can work remotely during COVID-19 period,https://petition.parliament.uk/petitions/300517,rejected,21
Ban smart motorways & reinstate the hard shoulders to avoid unnecessary deaths .,https://petition.parliament.uk/petitions/300518,rejected,6
"Stop gatherings, especially schools, office works and public entertainments",https://petition.parliament.uk/petitions/300519,rejected,21
Ban Horses From Public Roads,https://petition.parliament.uk/petitions/300521,closed,57
Get children from same family into same schools,https://petition.parliament.uk/petitions/300523,rejected,6
We don't want the concert of Faly Ipupa here in UK.,https://petition.parliament.uk/petitions/300527,rejected,17
Require universities to reimburse students' tuition fees during strike action,https://petition.parliament.uk/petitions/300528,closed,136749
Continue the Red Diesel Exemption Status for Legitimate UK Industry & Business.,https://petition.parliament.uk/petitions/300530,closed,672
Trace & prosecute hoax callers who cause significant cost to emergency services,https://petition.parliament.uk/petitions/300532,rejected,9
The UK should ban the importation of Shark Fins.,https://petition.parliament.uk/petitions/300535,closed,115382
Introduce a Pet Removal/Protection Order for victims of Domestic Abuse,https://petition.parliament.uk/petitions/300537,closed,317
